multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgALPPL2_4	sgAIP_4	NA	sgIRF8_4	NA	sgCCDC28A_2
sgAMBN_4	sgAKAP5_1	NA	sgITGB5_1	NA	sgCCDC28A_3
sgAMBN_5	sgAKAP5_2	NA	sgIVD_2	NA	sgCCDC28A_4
sgAMD1_1	sgAKAP8_4	NA	sgKANK4_2	NA	sgCCDC74B_3
sgAMD1_3	sgAKAP9_3	NA	sgKCNIP3_1	NA	sgCDH26_1
sgAMPD1_1	sgAKIRIN1_4	NA	sgKCNN2_3	NA	sgCDH3_4
sgAMY1A_1	sgAKNA_4	NA	sgKIAA0753_2	NA	sgCDKN2A_1
sgAMY1A_2	sgAKR1B10_1	NA	sgKIAA1407_2	NA	sgCDKN2A_2
sgAMY1A_3	sgAKR1B10_2	NA	sgKIF5B_3	NA	sgCDKN2A_3
sgAMY1A_4	sgAKR1B10_3	NA	sgKRI1_3	NA	sgCDKN2A_4
sgAMY1B_1	sgAKR1B10_4	NA	sgKRT6A_3	NA	sgCENPC_1
sgAMY1B_2	sgAKR1B15_1	NA	sgLMAN1_2	NA	sgCENPM_1
sgAMY1B_3	sgAKR1B15_2	NA	sgLMO7_4	NA	sgCENPM_3
sgAMY1B_4	sgAKR1B1_3	NA	sgLY6E_3	NA	sgCENPM_4
sgAMY1C_1	sgAKR1C1_1	NA	sgMALT1_4	NA	sgCEP112_2
sgAMY1C_2	sgAKR1C1_2	NA	sgMAP7_3	NA	sgCEP112_4
sgAMY1C_3	sgAKR1C1_3	NA	sgMEAF6_3	NA	sgCEP19_1
sgAMY1C_4	sgAKR1C2_1	NA	sgMED25_1	NA	sgCERS2_3
sgAMY2A_2	sgAKR1C2_2	NA	sgMETTL20_2	NA	sgCERS5_4
sgAMY2A_4	sgAKR1C3_1	NA	sgMGAT1_2	NA	sgCES2_4
sgAMY2A_5	sgAKR1C3_2	NA	sgMNT_2	NA	sgCFC1B_1
sgAMY2A_6	sgAKR1C4_2	NA	sgMPHOSPH10_3	NA	sgCFC1B_2
sgAMY2B_2	sgAKR1C4_4	NA	sgMRAP2_4	NA	sgCFC1B_4
sgAMY2B_3	sgAKR1D1_1	NA	sgMRGPRX2_1	NA	sgCGB7_2
sgAMY2B_4	sgAKT1S1_4	NA	sgMTMR3_4	NA	sgCHAC1_1
sgAMY2B_5	sgAKT2_2	NA	sgMX1_3	NA	sgCHAC1_2
sgAMZ2_3	sgAKTIP_1	NA	sgMYH9_3	NA	sgCHMP4A_2
sgANAPC10_1	sgAKTIP_3	NA	sgNAF1_3	NA	sgCHMP4A_4
sgANAPC10_2	sgALB_2	NA	sgNAV2_3	NA	sgCHN1_1
sgANAPC15_4	sgALDH1A2_3	NA	sgNCEH1_1	NA	sgCHN1_2
sgANAPC1_1	sgALDH3B2_2	NA	sgNCOA2_4	NA	sgCHN1_3
sgANAPC1_2	sgALDH3B2_4	NA	sgNEB_2	NA	sgCHURC1_1
sgANAPC1_3	sgALDH7A1_3	NA	sgNFE2_3	NA	sgCHURC1_2
sgANAPC1_4	sgALDOA_1	NA	sgNFKBIB_3	NA	sgCHURC1_3
sgANKRD18A_3	sgALDOB_2	NA	sgNIN_3	NA	sgCIC_2
sgANKRD20A1_1	sgALG10B_1	NA	sgNKX6-1_4	NA	sgCLDN10_1
sgANKRD20A1_2	sgALG10_2	NA	sgNLE1_1	NA	sgCLDN10_2
sgANKRD20A1_3	sgALG10_4	NA	sgNOSTRIN_2	NA	sgCLDN10_3
sgANKRD20A1_4	sgALKBH2_3	NA	sgNPRL2_2	NA	sgCLDN10_4
sgANKRD30A_2	sgALKBH8_2	NA	sgNRDE2_2	NA	sgCLDN16_1
sgANKRD30A_3	sgALOX15_1	NA	sgNT5C3A_3	NA	sgCLDN16_2
sgANKRD36_2	sgALPI_1	NA	sgNTAN1_1	NA	sgCLDND1_3
sgANKRD36_3	sgALPK2_1	NA	sgNYAP2_2	NA	sgCLEC3A_2
sgANKRD36_4	sgALPPL2_1	NA	sgOASL_1	NA	sgCLEC3A_4
sgANKRD36_5	sgALPP_3	NA	sgOGFRL1_2	NA	sgCMSS1_1
sgANKRD36_6	sgAMD1_2	NA	sgOR10A7_3	NA	sgCOG5_4
sgANKRD36_7	sgAMDHD1_4	NA	sgOR14J1_1	NA	sgCOL9A1_4
sgANKRD36_8	sgAMICA1_3	NA	sgOR2M2_1	NA	sgCOLEC11_1
sgANP32A_1	sgAMMECR1L_4	NA	sgOR4D10_2	NA	sgCOLEC11_4
sgANP32A_2	sgAMOTL1_2	NA	sgOR51S1_2	NA	sgCOX7A2_1
sgANP32B_1	sgAMPD3_3	NA	sgOR8G5_4	NA	sgCOX7A2_2
sgANTXRL_2	sgAMY2A_1	NA	sgOSBPL9_1	NA	sgCOX7A2_3
sgANXA2_1	sgAMY2A_3	NA	sgPAK4_3	NA	sgCOX7A2_4
sgANXA2_3	sgAMY2A_7	NA	sgPDE6D_4	NA	sgCREB5_4
sgANXA2_4	sgAMZ1_3	NA	sgPGPEP1_2	NA	sgCRLS1_3
sgANXA8L1_2	sgAMZ2_4	NA	sgPJA2_4	NA	sgCSPP1_1
sgANXA8L1_3	sgANAPC10_4	NA	sgPLIN1_4	NA	sgCTAGE5_5
sgANXA8L1_4	sgANGEL1_1	NA	sgPOC1A_4	NA	sgCTHRC1_1
sgANXA8L1_5	sgANGPT4_2	NA	sgPRAMEF20_2	NA	sgCTXN3_4
sgANXA8L1_6	sgANGPTL1_1	NA	sgPRIMPOL_4	NA	sgCXCL14_3
sgANXA8L1_8	sgANG_3	NA	sgPRODH_2	NA	sgCXCL16_3
sgANXA8_2	sgANKAR_2	NA	sgPRPF4B_1	NA	sgCXCL16_4
sgANXA8_3	sgANKHD1_2	NA	sgPRSS8_4	NA	sgCYB561D1_4
sgANXA8_4	sgANKK1_4	NA	sgPSMA8_1	NA	sgCYP3A43_2
sgANXA8_6	sgANKRD11_3	NA	sgPTGDS_3	NA	sgDCAF13_1
sgAOC3_3	sgANKRD18A_1	NA	sgPTH_4	NA	sgDCAF13_3
sgAP3S1_1	sgANKRD18A_4	NA	sgPTN_4	NA	sgDCAF13_4
sgAP3S1_2	sgANKRD26_3	NA	sgPTPRN_1	NA	sgDDX27_3
sgAP3S1_3	sgANKRD2_1	NA	sgPYY_3	NA	sgDDX31_1
sgAP3S1_4	sgANKRD30B_1	NA	sgRAB2B_4	NA	sgDDX31_4
sgAP4S1_3	sgANKRD30B_2	NA	sgRABL6_3	NA	sgDEFB110_1
sgAP4S1_4	sgANKRD33B_3	NA	sgRADIL_3	NA	sgDEFB110_2
sgAPBA2_2	sgANKRD34C_2	NA	sgRASSF9_4	NA	sgDEFB110_4
sgAPI5_4	sgANKRD34C_4	NA	sgRBM8A_2	NA	sgDEFB112_3
sgAPIP_1	sgANKRD36_1	NA	sgRBP4_3	NA	sgDEFB131_1
sgAPOBEC3A_1	sgANKRD49_3	NA	sgRFXANK_1	NA	sgDENND2D_1
