multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgDAZ3_2	sgAOC3_3	NA	NA	NA	sgDSTNP4_4
sgDDTL_3	sgAOC3_4	NA	NA	NA	sgDUSP11_4
sgDDT_1	sgAP1G2_2	NA	NA	NA	sgDUSP13B_1
sgDDT_2	sgAP1S2_4	NA	NA	NA	sgDUSP13B_2
sgDEFA1_1	sgAP2B1_3	NA	NA	NA	sgDUSP13B_3
sgDEFA1_2	sgAP3M2_2	NA	NA	NA	sgDUSP13B_4
sgDEFA1_3	sgAP3M2_3	NA	NA	NA	sgDUSP13B_5
sgDEFA1_4	sgAP4S1_2	NA	NA	NA	sgDUSP13B_6
sgDEFB103A_1	sgAP5M1_4	NA	NA	NA	sgDUSP13B_7
sgDEFB103A_2	sgAPBA2_4	NA	NA	NA	sgDYRK4_1
sgDEFB103A_3	sgAPBB3_1	NA	NA	NA	sgE2F7_3
sgDEFB103A_4	sgAPCDD1L_4	NA	NA	NA	sgECHDC3_1
sgDEFB104A_1	sgAPCDD1_3	NA	NA	NA	sgECI2_3
sgDEFB104A_2	sgAPELA_2	NA	NA	NA	sgEDDM13_1
sgDEFB104A_3	sgAPH1A_1	NA	NA	NA	sgEEF2_3
sgDEFB104A_4	sgAPI5_1	NA	NA	NA	sgEFCAB11_4
sgDEFB104B_1	sgAPI5_4	NA	NA	NA	sgEFCAB13_1
sgDEFB105A_1	sgAPIP_2	NA	NA	NA	sgEFCAB13_2
sgDEFB105A_2	sgAPOA4_3	NA	NA	NA	sgEFCAB13_3
sgDEFB105A_3	sgAPOA4_4	NA	NA	NA	sgEFHB_2
sgDEFB105A_4	sgAPOBEC3B_2	NA	NA	NA	sgEFL1_4
sgDEFB105B_1	sgAPOBEC3C_2	NA	NA	NA	sgEHF_3
sgDEFB106A_1	sgAPOBEC3C_3	NA	NA	NA	sgEIF1AY_2
sgDEFB106A_2	sgAPOBEC3D_1	NA	NA	NA	sgELMOD1_2
sgDEFB106A_3	sgAPOC1_2	NA	NA	NA	sgELP1_4
sgDEFB106A_4	sgAPOL4_4	NA	NA	NA	sgELP5_2
sgDEFB107A_1	sgAPOLD1_1	NA	NA	NA	sgEMD_2
sgDEFB107A_2	sgAPOOL_1	NA	NA	NA	sgEMSY_4
sgDEFB107A_3	sgAPOOL_2	NA	NA	NA	sgENAH_3
sgDEFB107A_4	sgAPOO_1	NA	NA	NA	sgEPHX2_1
sgDEFB108B_1	sgAPP_1	NA	NA	NA	sgEPOR_3
sgDEFB108C_1	sgAQP12A_2	NA	NA	NA	sgERC2_2
sgDEFB108C_2	sgAQP12B_3	NA	NA	NA	sgERH_2
