multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgCASC4_4	sgATP6V1E1_4	NA	NA	NA	sgC14orf177_1
sgCATSPER2_2	sgATP6V1G1_4	NA	NA	NA	sgC14orf177_2
sgCATSPER2_4	sgATXN1L_4	NA	NA	NA	sgC14orf177_3
sgCBX1_2	sgATXN3_4	NA	NA	NA	sgC14orf177_4
sgCBX1_4	sgAVEN_2	NA	NA	NA	sgC14orf178_1
sgCCDC127_1	sgAZIN1_2	NA	NA	NA	sgC14orf178_2
sgCCDC127_2	sgB3GALNT1_1	NA	NA	NA	sgC14orf178_3
sgCCDC144A_1	sgB3GAT3_4	NA	NA	NA	sgC14orf178_4
sgCCDC144A_2	sgB3GNT4_2	NA	NA	NA	sgC14orf182_1
sgCCDC144A_3	sgB4GALT1_1	NA	NA	NA	sgC14orf182_2
sgCCDC181_3	sgBAG1_2	NA	NA	NA	sgC14orf182_3
sgCCDC25_4	sgBAG1_4	NA	NA	NA	sgC14orf182_4
sgCCDC53_4	sgBANF1_1	NA	NA	NA	sgC14orf183_1
sgCCDC86_2	sgBANF1_3	NA	NA	NA	sgC14orf183_2
sgCCNB1IP1_3	sgBANP_1	NA	NA	NA	sgC14orf183_3
sgCCNJ_4	sgBASP1_4	NA	NA	NA	sgC14orf183_4
sgCCNYL1_2	sgBATF2_2	NA	NA	NA	sgC14orf23_1
sgCCRN4L_4	sgBAZ2B_3	NA	NA	NA	sgC14orf23_2
sgCCT6A_4	sgBBIP1_3	NA	NA	NA	sgC14orf23_3
sgCCT8L2_1	sgBBIP1_4	NA	NA	NA	sgC14orf23_4
sgCCT8L2_4	sgBBOX1_1	NA	NA	NA	sgC15orf27_1
sgCCT8_4	sgBCAR1_1	NA	NA	NA	sgC15orf32_1
sgCD33_2	sgBCL2L11_3	NA	NA	NA	sgC15orf32_2
sgCD33_3	sgBCL6_3	NA	NA	NA	sgC15orf32_3
sgCD83_4	sgBCLAF1_3	NA	NA	NA	sgC15orf32_4
sgCD8B_1	sgBDP1_1	NA	NA	NA	sgC15orf37_1
sgCD8B_2	sgBDP1_2	NA	NA	NA	sgC15orf37_2
sgCD8B_4	sgBDP1_4	NA	NA	NA	sgC15orf37_3
sgCDC14B_2	sgBEX5_1	NA	NA	NA	sgC15orf52_1
sgCDC20_4	sgBHLHA15_3	NA	NA	NA	sgC15orf53_1
sgCDC26_2	sgBHLHB9_1	NA	NA	NA	sgC15orf53_2
sgCDC26_3	sgBHLHB9_4	NA	NA	NA	sgC15orf53_3
