multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgANKRD49_2	sgAKAP17A_3	NA	sgDIABLO_2	NA	sgC9orf47_1
sgANP32A_1	sgAKAP7_11	NA	sgDIS3L2_5	NA	sgC9orf47_2
sgANP32A_3	sgAKAP9_4	NA	sgDISC1_10	NA	sgC9orf47_3
sgANP32A_5	sgAKIRIN1_1	NA	sgDNAJC12_7	NA	sgC9orf47_4
sgANP32B_1	sgAKIRIN2_1	NA	sgDNAJC7_3	NA	sgC9orf47_5
sgANP32B_2	sgAKIRIN2_2	NA	sgDUSP15_5	NA	sgCABP1_9
sgANP32B_4	sgAKNAD1_4	NA	sgDUSP8_3	NA	sgCALML4_10
sgANP32D_1	sgAKR1B10_1	NA	sgECHDC2_2	NA	sgCALML4_9
sgANTXRL_5	sgAKR1B10_2	NA	sgEDA_1	NA	sgCALU_2
sgANXA8L1_3	sgAKR1B10_5	NA	sgEDF1_5	NA	sgCALU_3
sgANXA8L1_4	sgAKR1B1_2	NA	sgEFCAB4A_3	NA	sgCAPRIN2_5
sgANXA8L2_1	sgAKR1C4_2	NA	sgEGR2_5	NA	sgCARD16_1
sgANXA8L2_2	sgAKR1C4_4	NA	sgEIF4A2_2	NA	sgCARD16_2
sgANXA8_1	sgAKR1C4_5	NA	sgELAVL2_5	NA	sgCBFA2T3_5
sgANXA8_2	sgAKR1D1_3	NA	sgELOVL7_2	NA	sgCC2D2A_10
sgANXA8_3	sgAKR1D1_4	NA	sgELP6_1	NA	sgCC2D2A_12
sgAOC3_7	sgAKR1E2_1	NA	sgENHO_2	NA	sgCC2D2A_13
sgAOC3_8	sgAKR7A3_1	NA	sgENO2_2	NA	sgCCDC130_5
sgAP1S2_1	sgAKT1S1_3	NA	sgEPB41L2_5	NA	sgCCDC159_5
sgAP1S2_2	sgAKTIP_3	NA	sgEPHA3_3	NA	sgCCDC28A_1
sgAP1S2_4	sgALAD_2	NA	sgEPHX1_5	NA	sgCCDC28A_2
sgAP1S2_5	sgALAD_3	NA	sgERAS_4	NA	sgCCDC28A_3
sgAP2S1_2	sgALB_4	NA	sgERBB2_1	NA	sgCCL14_6
sgAP2S1_3	sgALDH3B2_1	NA	sgEYA4_5	NA	sgCCL21_1
sgAP3S1_1	sgALDH3B2_4	NA	sgFABP12_5	NA	sgCCNH_4
sgAP3S1_2	sgALDH6A1_5	NA	sgFAM133A_1	NA	sgCCNO_2
sgAP3S1_3	sgALDOA_1	NA	sgFAM168A_5	NA	sgCDC42BPA_3
sgAP3S1_5	sgALDOA_5	NA	sgFAM26D_2	NA	sgCDH17_2
sgAPBA2_1	sgALDOC_1	NA	sgFAM69C_3	NA	sgCDH23_9
sgAPBA2_4	sgALG10B_1	NA	sgFAM81B_3	NA	sgCDKN2A_10
sgAPI5_1	sgALG10B_2	NA	sgFASTKD5_4	NA	sgCDKN2A_8
sgAPIP_3	sgALG10_1	NA	sgFBXO48_2	NA	sgCDKN2A_9
sgAPOBEC3A_4	sgALG11_2	NA	sgFCRL4_3	NA	sgCDKN2B_2
sgAPOBEC3A_5	sgALG6_5	NA	sgFRMD4B_5	NA	sgCELF3_5
sgAPOBEC3F_1	sgALG8_1	NA	sgFSCN3_2	NA	sgCENPW_6
sgAPOBEC3F_2	sgALG8_2	NA	sgFXYD4_2	NA	sgCEP112_10
sgAPOBEC3F_4	sgALKBH3_2	NA	sgGCA_1	NA	sgCEP112_9
sgAPOOL_1	sgALKBH3_3	NA	sgGCNT2_6	NA	sgCEP41_9
sgAPOOL_4	sgALKBH6_4	NA	sgGFOD2_1	NA	sgCGREF1_12
sgAPOOL_5	sgALKBH8_3	NA	sgGGCT_5	NA	sgCGREF1_13
sgAQP10_1	sgALOX15_3	NA	sgGHRL_1	NA	sgCGREF1_14
sgAQP12B_1	sgALPK2_4	NA	sgGLE1_3	NA	sgCHCHD7_8
sgAQP12B_2	sgALPK3_2	NA	sgGM2A_1	NA	sgCHCHD7_9
sgAQP12B_3	sgALPPL2_2	NA	sgGMEB1_4	NA	sgCHRAC1_3
sgAQP12B_4	sgALPPL2_3	NA	sgGNG10_1	NA	sgCHRD_5
sgAQP12B_5	sgALPP_1	NA	sgGOT2_2	NA	sgCLC_4
sgAQP7_3	sgALS2CL_2	NA	sgGPR157_2	NA	sgCLC_5
sgARF4_1	sgALX1_3	NA	sgGPSM1_4	NA	sgCLDN16_1
sgARF4_2	sgALX3_2	NA	sgGRHPR_5	NA	sgCLEC3A_1
sgARF4_4	sgAMBN_3	NA	sgGRINA_3	NA	sgCLEC9A_2
sgARHGAP11A_1	sgAMD1_5	NA	sgGSS_2	NA	sgCLN5_1
sgARHGAP11A_2	sgAMELX_3	NA	sgGTF2H3_2	NA	sgCLPSL2_6
